Cluster Name,RA,DEC,l,b,Rsun,ERsun,R_GC,RV,ERV,mualpha,mu_delta,rhopmrade,X,DX,Y,DY,Z,DZ,U,DU,V,DV,W,DW,RPERI,RAPO
NGC_4590,189.866577,-26.744057,299.626,36.051,10.40,0.10,10.35,-93.11,0.18,-2.732,0.005,1.764  0.005  -0.15,4.02,0.04,-7.31,0.07,6.12,0.06,170.43,0.24,289.18,0.21,16.43,0.21,8.88  0.06,29.37   0.41
BH_140,193.472915,-67.177276,303.171,-4.307,4.81,0.25,6.86,90.30,0.35,-14.901,0.069,1.258  0.073   0.17,5.55,0.13,-4.01,0.21,-0.36,0.02,222.36,1.33,-10.8,0.91,32.29,1.66,2.01  0.11,10.00   0.57
NGC_4833,194.891342,-70.876503,303.604,-8.015,6.48,0.08,7.13,201.99,0.4,-8.390,0.006,-0.968  0.006   0.19,4.63,0.05,-5.34,0.07,-0.9,0.01,95.21,0.27,-54.95,0.34,-42.21,0.19,0.85  0.03,7.62   0.08
NGC_5024,198.230209,18.168165,332.963,79.764,18.50,0.18,19.00,-63.37,0.25,-0.131,0.005,-1.332  0.005  -0.34,5.25,0.03,-1.49,0.01,18.2,0.18,-57.27,0.41,155.76,0.41,-72.49,0.26,9.28  0.03,22.64   0.17
NGC_5053,199.112885,17.700251,335.699,78.946,17.54,0.23,18.01,42.82,0.25,-0.338,0.007,-1.214  0.007  -0.34,5.11,0.04,-1.38,0.02,17.21,0.23,-52.79,0.58,150.82,0.58,35.3,0.27,10.79  0.05,17.84   0.20
NGC_5139,201.696991,-47.479473,309.102,14.968,5.43,0.05,6.50,232.78,0.21,-3.236,0.011,-6.731  0.011  -0.12,4.87,0.03,-4.07,0.04,1.4,0.01,-95.98,0.25,-21.69,0.24,-86.82,0.27,1.47  0.04,6.95   0.03
NGC_5272,205.548416,28.377277,42.217,78.707,10.18,0.08,12.09,-147.20,0.27,-0.153,0.007,-2.679  0.007   0.14,6.7,0.01,1.34,0.01,9.98,0.08,-65.3,0.32,127.78,0.32,-134.17,0.27,5.28  0.02,15.80   0.10
NGC_5286,206.61171,-51.374249,311.614,10.568,11.10,0.14,8.46,62.38,0.4,0.187,0.007,-0.160  0.007   0.08,0.93,0.09,-8.16,0.11,2.03,0.03,-58.91,0.39,210.15,0.39,8.54,0.37,0.93  0.05,12.78   0.16
AM_4,209.089066,-27.165171,320.283,33.51,29.01,0.94,24.58,151.19,2.85,-0.538,0.306,-2.485  0.349  -0.46,-10.43,0.6,-15.46,0.5,16.02,0.52,-126.95,32.78,-68.39,38.19,-162.9,39.49,21.12  5.02,52.50  97.64
NGC_5466,211.363709,28.534445,42.15,73.592,16.12,0.16,16.48,106.82,0.2,-5.336,0.005,-0.809  0.004   0.17,4.8,0.03,3.06,0.03,15.46,0.16,217.9,0.34,-33.47,0.34,225.06,0.22,6.16  0.26,47.79   1.51
NGC_5634,217.405335,-5.97643,342.21,49.26,25.96,0.62,21.84,-16.07,0.6,-1.690,0.009,-1.489  0.008  -0.04,-7.95,0.39,-5.18,0.12,19.67,0.47,59.05,0.92,-14.26,1.03,-26.56,0.8,3.08  0.25,22.18   0.59
NGC_5694,219.901245,-26.538776,331.056,30.36,34.84,0.74,29.16,-139.55,0.49,-0.476,0.012,-1.102  0.011  -0.36,-18.13,0.56,-14.55,0.31,17.61,0.37,114.37,1.32,144.79,1.72,-170.18,1.6,29.14  0.71,59.26   1.47
IC_4499,225.077188,-82.213792,307.354,-20.473,18.89,0.25,15.75,38.41,0.31,0.457,0.007,-0.492  0.007  -0.05,-2.56,0.14,-14.07,0.19,-6.61,0.09,-30.75,0.55,247.81,0.48,-61.21,0.62,6.68  0.19,28.58   0.53
