Cluster Name,RA,DEC,l,b,Rsun,ERsun,R_GC,RV,ERV,mualpha,mu_delta,rhopmrade,X,DX,Y,DY,Z,DZ,U,DU,V,DV,W,DW,RPERI,RAPO
NGC_6426,266.22796,3.170142,28.087,16.234,20.71,0.35,14.45,-210.51,0.51,-1.821,0.016,-2.998  0.015   0.27,-9.36,0.3,9.36,0.16,5.79,0.1,11.24,0.91,-149.16,1.37,-29.02,1.48,3.67  0.36,17.00   0.52
Djor_1,266.869583,-33.066389,356.675,-2.484,9.88,0.65,1.82,-359.18,1.64,-4.725,0.028,-8.470  0.021  -0.02,-1.68,0.65,-0.57,0.04,-0.43,0.03,374.13,1.63,-180.09,1.08,7.5,1.22,1.19  0.31,9.29   3.67
Ter_5,267.0202,-24.779055,3.839,1.687,6.62,0.15,1.65,-81.97,0.85,-1.864,0.030,-5.108  0.027   0.33,1.58,0.15,0.44,0.01,0.19,0.0,58.48,0.85,79.79,0.88,-27.76,0.92,0.27  0.04,1.69   0.15
NGC_6440,267.220167,-20.360417,7.729,3.801,8.25,0.24,1.23,-69.39,0.93,-1.189,0.024,-4.004  0.024   0.34,0.02,0.24,1.11,0.03,0.55,0.02,33.58,0.93,86.46,0.94,-37.51,0.94,0.21  0.07,1.26   0.06
Gran_5,267.228,-24.17,4.459,1.839,4.91,0.31,3.31,-58.87,3.27,-5.353,0.046,-9.312  0.043   0.06,3.29,0.31,0.38,0.02,0.16,0.01,27.97,3.25,-1.55,1.05,0.7,1.06,0.32  0.08,2.85   0.32
NGC_6441,267.554413,-37.051445,353.532,-5.006,12.73,0.16,4.78,18.47,0.56,-2.566,0.020,-5.373  0.020   0.17,-4.42,0.16,-1.43,0.02,-1.11,0.01,13.63,0.58,-105.17,1.2,-25.31,1.2,1.61  0.13,4.70   0.14
Ter_6,267.69325,-31.275389,358.571,-2.162,7.27,0.35,0.97,137.15,1.7,-4.993,0.052,-7.458  0.045   0.26,0.91,0.35,-0.18,0.01,-0.27,0.01,-141.03,1.7,-60.0,1.63,18.66,1.73,0.20  0.02,1.11   0.39
NGC_6453,267.715508,-34.598477,355.718,-3.872,10.07,0.22,2.10,-99.23,1.24,0.165,0.021,-5.920  0.021   0.18,-1.84,0.22,-0.75,0.02,-0.68,0.01,115.63,1.24,21.74,1.0,-136.21,1.02,0.45  0.11,2.52   0.23
UKS_1,268.613312,-24.145277,5.125,0.764,15.58,0.56,7.47,59.38,2.63,-0.960,0.207,-2.941  0.135   0.13,-7.34,0.56,1.39,0.05,0.21,0.01,-90.83,2.82,35.25,11.53,-40.64,14.11,0.47  0.15,7.80   0.60
VVV-CL001,268.677083,-24.014722,5.267,0.78,8.08,1.48,0.76,-327.28,0.9,-3.394,0.110,-1.710  0.077   0.30,0.13,1.48,0.74,0.14,0.11,0.02,304.62,0.94,100.38,3.3,81.91,3.91,0.72  0.36,4.11   1.99
Gran_1,269.651,-32.02,358.767,-3.977,8.27,0.67,0.60,78.94,1.44,-8.044,0.038,-8.049  0.031   0.42,-0.07,0.67,-0.18,0.01,-0.57,0.05,-88.72,1.43,-179.91,1.29,119.01,1.41,1.45  0.29,3.60   0.83
NGC_6496,269.76535,-44.265945,348.027,-10.014,9.64,0.15,2.81,-134.72,0.26,-3.066,0.006,-9.257  0.005   0.16,-1.11,0.15,-1.97,0.03,-1.68,0.03,222.91,0.26,-146.82,0.24,-45.56,0.25,2.62  0.12,4.56   0.29
Ter_9,270.411667,-26.839722,3.603,-1.989,5.77,0.34,2.46,68.56,0.54,-2.168,0.031,-7.698  0.029   0.34,2.42,0.34,0.36,0.02,-0.2,0.01,-91.02,0.54,44.46,0.81,-47.51,0.83,0.37  0.08,2.55   0.41
Djor_2,270.454378,-27.825819,2.763,-2.508,8.76,0.18,0.80,-149.75,1.1,0.720,0.021,-3.003  0.018   0.01,-0.57,0.18,0.42,0.01,-0.38,0.01,137.64,1.1,151.13,0.79,-73.65,0.86,0.74  0.07,0.92   0.10
NGC_6517,270.46075,-8.958778,19.225,6.762,9.23,0.56,3.24,-35.06,1.65,-1.554,0.018,-4.452  0.017   0.34,-0.47,0.52,3.02,0.18,1.09,0.07,-49.03,1.57,50.13,0.89,-31.3,0.78,0.42  0.04,3.40   0.27
Ter_10,270.740833,-26.066944,4.421,-1.864,10.21,0.40,2.17,211.37,2.27,-6.806,0.030,-2.595  0.023   0.03,-2.0,0.4,0.79,0.03,-0.33,0.01,-249.96,2.25,-1.58,1.2,225.31,1.36,1.07  0.28,5.60   1.10
NGC_6522,270.891958,-30.033974,1.025,-3.926,7.29,0.21,1.04,-15.23,0.49,2.586,0.014,-6.432  0.014   0.29,0.9,0.21,0.13,0.0,-0.5,0.01,14.18,0.49,101.3,0.48,-177.94,0.49,0.44  0.13,1.30   0.15
NGC_6535,270.960449,-0.297639,27.176,10.436,6.36,0.12,4.04,-214.85,0.46,-4.213,0.014,-2.935  0.013   0.19,2.61,0.11,2.86,0.06,1.15,0.02,125.6,0.45,27.55,0.41,38.55,0.41,0.96  0.05,4.52   0.05
NGC_6528,271.206697,-30.055778,1.139,-4.174,7.83,0.24,0.70,211.86,0.43,-2.173,0.021,-5.643  0.019   0.13,0.37,0.24,0.16,0.0,-0.57,0.02,-224.49,0.43,34.2,0.73,-39.4,0.76,0.43  0.07,0.92   0.28
NGC_6539,271.207276,-7.585858,20.795,6.776,8.16,0.39,3.09,35.19,0.5,-6.883,0.009,-3.549  0.008   0.41,0.6,0.36,2.88,0.14,0.96,0.05,-113.35,0.48,25.57,0.35,178.27,0.34,2.14  0.15,3.42   0.17
NGC_6540,271.535657,-27.765286,3.285,-3.313,5.91,0.27,2.34,-16.50,0.78,-3.695,0.019,-2.818  0.018   0.23,2.29,0.27,0.34,0.02,-0.34,0.02,-4.5,0.78,132.39,0.5,60.24,0.52,1.06  0.17,2.32   0.28
VVV-CL160,271.7375,-20.011111,10.151,0.302,6.80,0.50,1.91,245.28,0.78,-2.025,0.133,-16.766  0.104   0.31,1.48,0.49,1.2,0.09,0.04,0.0,-342.4,0.99,-200.24,3.54,-197.76,4.08,0.85  0.06,11.52   1.17
NGC_6544,271.833833,-24.998222,5.837,-2.202,2.58,0.06,5.62,-38.46,0.67,-2.269,0.026,-18.615  0.026   0.02,5.61,0.06,0.26,0.01,-0.1,0.0,8.81,0.67,36.42,0.33,-77.57,0.32,0.56  0.06,5.53   0.12
NGC_6541,272.009827,-43.714889,349.286,-11.188,7.61,0.10,2.19,-163.97,0.46,0.283,0.006,-8.832  0.005   0.09,0.84,0.1,-1.39,0.02,-1.48,0.02,228.17,0.45,13.34,0.21,-111.74,0.22,1.55  0.04,3.58   0.02
2MASS-GC01,272.090851,-19.829723,10.471,0.1,3.37,0.62,4.90,-35.58,0.35,-1.366,0.286,-1.754  0.227   0.28,4.86,0.61,0.61,0.11,0.01,0.0,17.52,0.78,211.23,3.79,12.67,4.34,3.61  0.59,5.15   0.55
ESO_280-SC06,272.275,-46.423333,346.899,-12.571,20.95,0.65,13.41,93.20,0.34,-0.695,0.020,-2.776  0.016   0.23,-11.73,0.61,-4.63,0.14,-4.56,0.14,-23.96,0.6,-35.85,1.67,-71.97,1.91,1.55  0.33,13.82   0.71
NGC_6553,272.322992,-25.908067,5.253,-3.029,5.33,0.13,2.93,-0.27,0.34,0.354,0.013,-0.427  0.013   0.22,2.88,0.13,0.49,0.01,-0.28,0.01,-10.62,0.34,247.02,0.33,-5.76,0.33,2.82  0.13,3.62   0.11
2MASS-GC02,272.4021,-20.778889,9.782,-0.615,5.50,0.44,2.91,-87.50,2.83,-2.924,0.220,-3.776  0.174   0.47,2.76,0.43,0.93,0.07,-0.06,0.0,54.01,2.88,116.1,4.81,27.3,5.47,0.68  0.23,3.18   0.38
NGC_6558,272.573974,-31.764508,0.199,-6.023,7.79,0.18,0.93,-195.12,0.73,-1.752,0.017,-4.167  0.016   0.06,0.44,0.18,0.03,0.0,-0.82,0.02,184.04,0.73,85.48,0.6,11.86,0.62,0.55  0.04,1.10   0.16
IC_1276,272.684441,-7.207595,21.832,5.668,4.55,0.25,4.34,155.06,0.69,-2.555,0.015,-4.586  0.015   0.04,3.97,0.23,1.69,0.09,0.45,0.02,-196.33,0.65,204.37,0.4,24.13,0.34,3.69  0.09,6.93   0.41
Ter_12,273.065833,-22.741944,8.358,-2.101,5.17,0.38,3.17,94.01,0.72,-6.234,0.016,-3.063  0.013   0.39,3.07,0.38,0.75,0.06,-0.19,0.01,-127.81,0.71,128.87,0.36,101.76,0.39,1.79  0.22,3.73   0.43
NGC_6569,273.411667,-31.826889,0.481,-6.681,10.53,0.26,2.59,-49.83,0.5,-4.142,0.010,-7.333  0.009   0.16,-2.28,0.26,0.09,0.0,-1.23,0.03,33.52,0.5,-168.57,0.47,24.53,0.48,1.68  0.30,2.70   0.25
BH_261,273.5275,-28.635,3.362,-5.27,6.12,0.26,2.20,-60.00,2.24,3.589,0.022,-3.570  0.020   0.25,2.1,0.26,0.36,0.02,-0.56,0.02,58.95,2.22,205.82,0.6,-127.18,0.65,1.45  0.22,3.33   0.28
NGC_6584,274.656647,-52.215778,342.143,-16.414,13.61,0.17,6.99,260.64,1.58,-0.080,0.008,-7.195  0.008  -0.08,-4.25,0.16,-4.0,0.05,-3.85,0.05,-69.58,1.45,-216.63,0.67,-238.12,0.67,2.25  0.22,19.79   1.06
Mercer_5,275.8325,-13.668611,17.594,-0.112,5.50,0.50,3.37,185.50,3.75,-3.967,0.071,-7.141  0.059   0.40,2.94,0.48,1.66,0.15,-0.01,0.0,-252.3,3.63,105.32,1.92,10.96,1.8,nan   nan,nan    nan
NGC_6624,275.918793,-30.361029,2.788,-7.913,8.02,0.11,1.20,54.79,0.4,0.127,0.014,-6.956  0.014  -0.01,0.24,0.11,0.39,0.01,-1.1,0.01,-59.64,0.4,20.64,0.52,-122.99,0.53,0.32  0.02,1.36   0.02
NGC_6626,276.137039,-24.869847,7.798,-5.581,5.37,0.10,3.02,11.11,0.6,-0.303,0.018,-8.931  0.018  -0.26,2.88,0.1,0.72,0.01,-0.52,0.01,-40.52,0.6,48.96,0.46,-90.99,0.46,0.61  0.05,2.97   0.10
NGC_6638,277.733734,-25.497473,7.896,-7.153,9.78,0.34,2.30,8.63,2.0,-2.515,0.011,-4.069  0.010   0.20,-1.43,0.33,1.33,0.05,-1.22,0.04,-52.31,1.97,35.04,0.54,25.45,0.55,0.28  0.08,2.36   0.26
NGC_6637,277.846252,-32.348084,1.723,-10.269,8.90,0.10,1.71,47.48,1.0,-5.053,0.007,-5.825  0.007   0.40,-0.58,0.1,0.26,0.0,-1.59,0.02,-82.47,0.98,-59.69,0.28,82.89,0.33,0.40  0.09,2.03   0.08
NGC_6642,277.975957,-23.475602,9.815,-6.439,8.05,0.20,1.66,-60.61,1.35,-0.175,0.013,-3.900  0.013   0.23,0.3,0.2,1.36,0.03,-0.9,0.02,31.86,1.32,106.97,0.53,-46.79,0.53,0.27  0.08,1.82   0.08
NGC_6652,278.940125,-32.990723,1.534,-11.377,9.46,0.14,2.18,-95.37,0.86,-5.496,0.012,-4.250  0.012   0.07,-1.1,0.14,0.25,0.0,-1.87,0.03,46.85,0.86,-26.61,0.53,165.75,0.55,0.32  0.05,3.09   0.17
NGC_6656,279.099762,-23.904749,9.892,-7.552,3.30,0.04,5.00,-148.72,0.78,9.841,0.009,-5.607  0.009   0.20,4.95,0.04,0.56,0.01,-0.43,0.0,155.31,0.76,212.88,0.19,-148.73,0.18,2.97  0.02,9.59   0.02
Pal_8,280.37729,-19.828858,14.103,-6.801,11.32,0.63,4.09,-39.68,1.25,-1.999,0.054,-5.633  0.047   0.16,-2.72,0.61,2.74,0.15,-1.34,0.07,-46.04,1.42,-67.23,2.54,-26.26,2.79,1.09  0.36,4.12   0.59
NGC_6681,280.803162,-32.29211,2.853,-12.51,9.36,0.11,2.29,216.62,0.84,1.420,0.013,-4.730  0.012   0.22,-0.95,0.1,0.45,0.01,-2.03,0.02,-199.39,0.84,96.15,0.55,-180.24,0.58,0.81  0.04,4.98   0.18
NGC_6712,283.268021,-8.70596,25.354,-4.318,7.38,0.24,3.55,-107.45,0.29,3.355,0.007,-4.440  0.007   0.13,1.53,0.21,3.15,0.1,-0.56,0.02,60.92,0.28,123.26,0.26,-159.05,0.26,0.45  0.10,4.84   0.13
NGC_6715,283.763855,-30.479862,5.607,-14.087,26.28,0.33,18.51,143.13,0.43,-2.682,0.007,-1.374  0.007   0.25,-17.19,0.32,2.49,0.03,-6.4,0.08,-235.36,0.47,-17.11,0.84,203.74,0.84,14.77  0.33,46.92   1.89
NGC_6717,283.775177,-22.701473,12.876,-10.9,7.52,0.13,2.38,30.25,0.9,-3.153,0.016,-5.008  0.016   0.35,0.98,0.13,1.65,0.03,-1.42,0.02,-91.59,0.87,55.81,0.57,27.44,0.58,0.74  0.02,2.54   0.05
NGC_6723,284.888123,-36.632248,0.069,-17.299,8.27,0.10,2.47,-94.39,0.26,1.018,0.006,-2.410  0.006   0.21,0.28,0.09,0.01,0.0,-2.46,0.03,100.19,0.26,178.63,0.23,-32.93,0.23,2.07  0.05,2.82   0.03
NGC_6749,286.314056,1.899756,36.2,-2.205,7.59,0.21,4.94,-58.44,0.96,-2.872,0.027,-5.981  0.027   0.10,2.06,0.17,4.48,0.13,-0.29,0.01,-104.73,0.96,25.0,0.96,2.83,0.97,1.43  0.06,4.95   0.05
NGC_6752,287.717102,-59.984554,336.493,-25.628,4.12,0.04,5.30,-26.01,0.12,-3.160,0.012,-4.024  0.012   0.03,4.77,0.03,-1.48,0.01,-1.78,0.02,27.25,0.17,172.35,0.23,60.49,0.22,3.38  0.03,5.49   0.02
NGC_6760,287.800268,1.030466,36.108,-3.924,8.41,0.43,5.17,-2.37,1.27,-1.093,0.008,-3.632  0.007   0.30,1.4,0.35,4.95,0.25,-0.58,0.03,-95.28,1.04,129.61,0.78,-20.16,0.32,1.84  0.07,5.82   0.20
NGC_6779,289.148193,30.183472,62.659,8.336,10.43,0.14,9.91,-136.97,0.45,-2.003,0.007,1.617  0.007   0.07,3.44,0.06,9.17,0.13,1.51,0.02,83.5,0.37,128.29,0.43,110.44,0.35,1.30  0.08,13.13   0.16
Ter_7,289.432983,-34.657722,3.387,-20.067,24.28,0.49,16.85,159.45,0.14,-2.990,0.013,-1.659  0.012   0.24,-14.59,0.46,1.35,0.03,-8.33,0.17,-266.95,0.55,-29.06,1.42,196.22,1.44,14.57  0.48,50.41   3.74
Pal_10,289.508728,18.571667,52.436,2.725,8.94,1.18,7.60,-31.70,0.23,-4.326,0.010,-7.173  0.010   0.11,2.73,0.72,7.08,0.94,0.43,0.06,-272.22,0.38,10.22,0.33,26.44,0.44,6.38  1.14,12.79   6.02
Arp_2,292.183807,-30.355639,8.545,-20.785,28.73,0.34,21.39,122.64,0.29,-2.317,0.012,-1.487  0.010   0.21,-18.38,0.32,3.99,0.05,-10.19,0.12,-248.46,0.69,-13.89,1.42,175.88,1.53,17.77  0.38,51.38   2.06
NGC_6809,294.998779,-30.96475,8.793,-23.272,5.35,0.05,4.01,174.70,0.17,-3.435,0.007,-9.296  0.007  -0.05,3.32,0.05,0.75,0.01,-2.11,0.02,-210.78,0.17,28.97,0.17,-55.46,0.17,1.60  0.00,5.62   0.03
Ter_8,295.435028,-33.999474,5.759,-24.559,27.54,0.42,20.43,148.53,0.17,-2.499,0.009,-1.580  0.006  -0.44,-16.74,0.38,2.51,0.04,-11.44,0.17,-278.55,0.53,-15.93,0.83,173.31,1.07,17.66  0.48,95.16 119.42
Pal_11,296.31,-8.007222,31.805,-15.576,14.02,0.51,8.70,-67.64,0.76,-1.741,0.025,-4.973  0.022   0.17,-3.3,0.42,7.12,0.26,-3.77,0.14,-129.7,1.12,-83.56,1.36,-14.16,1.6,4.49  0.73,8.68   0.47
Sagittarius_II,298.164708,-22.065251,18.937,-22.893,66.53,1.56,59.54,-175.73,0.37,-0.807,0.045,-0.897  0.028  -0.03,-49.79,1.36,19.89,0.47,-25.88,0.61,-22.93,6.7,-119.98,8.75,199.42,12.51,59.67  1.55,325.66 204.89
NGC_6838,298.443726,18.779194,56.746,-4.564,4.00,0.05,6.86,-22.72,0.2,-3.412,0.011,-2.662  0.011  -0.06,5.99,0.03,3.34,0.04,-0.32,0.0,-63.91,0.21,193.37,0.21,38.86,0.22,4.81  0.02,7.12   0.00
NGC_6864,301.519784,-21.921164,20.304,-25.747,20.52,0.45,14.30,-189.08,1.12,-0.614,0.016,-2.796  0.015   0.18,-9.15,0.38,6.41,0.14,-8.91,0.2,69.15,1.26,-71.35,1.46,53.63,1.47,1.12  0.21,16.15   0.58
NGC_6934,308.547394,7.404472,52.103,-18.893,15.72,0.17,12.83,-406.22,0.73,-2.658,0.008,-4.691  0.007   0.12,-0.96,0.1,11.73,0.13,-5.09,0.06,-88.22,0.62,-302.01,0.65,122.23,0.58,3.69  2.50,42.10   1.68
NGC_6981,313.365417,-12.537306,35.162,-32.683,16.66,0.18,12.53,-331.39,1.47,-1.261,0.007,-3.369  0.005   0.08,-3.29,0.13,8.08,0.09,-9.0,0.1,62.03,1.07,-146.06,0.8,170.23,0.9,0.73  0.03,22.08   0.45
NGC_7006,315.372626,16.187323,63.77,-19.407,39.32,0.56,36.67,-383.47,0.73,-0.115,0.010,-0.619  0.009   0.03,-8.21,0.23,33.27,0.47,-13.06,0.19,62.61,1.61,-134.21,1.07,84.85,1.69,2.33  0.18,50.56   0.78
Laevens_3,316.7267,14.9805,63.593,-21.176,61.77,1.65,58.85,-70.30,0.82,0.242,0.102,-0.748  0.079   0.07,-17.44,0.68,51.59,1.38,-22.31,0.6,-68.19,24.47,74.23,12.76,-144.15,25.55,16.94  5.20,500.00   0.00
NGC_7078,322.493042,12.167001,65.013,-27.313,10.71,0.10,10.76,-106.84,0.3,-0.648,0.009,-3.801  0.008   0.13,4.16,0.04,8.62,0.08,-4.91,0.04,-106.01,0.42,53.95,0.35,-30.3,0.41,3.90  0.06,10.77   0.06
NGC_7089,323.362579,-0.82325,53.371,-35.77,11.69,0.11,10.54,-3.78,0.3,3.445,0.009,-2.177  0.009  -0.07,2.52,0.06,7.61,0.07,-6.83,0.07,73.27,0.47,146.63,0.42,-173.8,0.45,0.88  0.06,18.74   0.22
NGC_7099,325.092133,-23.179861,27.179,-46.835,8.46,0.09,7.36,-185.19,0.17,-0.732,0.008,-7.307  0.007   0.29,3.03,0.05,2.64,0.03,-6.17,0.06,1.8,0.27,-80.48,0.29,107.84,0.25,1.51  0.01,8.56   0.08
Pal_12,326.661804,-21.252611,30.51,-47.682,18.49,0.30,15.28,27.91,0.28,-3.225,0.013,-3.320  0.012   0.46,-2.55,0.17,6.32,0.1,-13.67,0.22,-327.57,0.92,18.08,0.96,109.51,0.77,15.30  0.27,51.25   3.55
Pal_13,346.68519,12.771539,87.103,-42.7,23.48,0.40,24.57,25.30,0.22,1.740,0.039,0.116  0.032   0.11,7.31,0.01,17.23,0.29,-15.92,0.27,161.51,4.18,216.8,2.57,-77.87,2.82,6.91  0.34,58.24   1.76
NGC_7492,347.11117,-15.611469,53.386,-63.478,24.39,0.57,23.57,-176.70,0.27,0.777,0.011,-2.321  0.011   0.21,1.68,0.15,8.74,0.21,-21.82,0.51,-1.29,1.26,-75.12,1.16,70.68,0.62,2.81  0.38,26.03   0.64
